Gamma,Alpha,Alphas,Training_accuracy,Test_accuracy,Exp. training acc. estimate,Accuracy estimate (Exp. stat. acc. estimate)
1e-05,1000.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[0.99999562 0.9908614  0.88782637 0.7490455  0.30514499 0.17331976
 0.03877886 0.01967739 0.00199431]","[-0.00830414 -0.0076466  -0.00601764 -0.00501958 -0.00332133 -0.00299075
 -0.00269835 -0.00265995 -0.00262503]",0.9999956159782076,-0.00262503020747884
0.001,1000.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[0.9991173  0.9894425  0.88602263 0.74740769 0.30449423 0.17296308
 0.03870281 0.0196391  0.00199046]","[-0.01393645 -0.01261471 -0.00934993 -0.00735844 -0.00399404 -0.00334443
 -0.00277195 -0.00269693 -0.00262874]",0.9991172993700758,-0.0026287440026647956
0.01,1000.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[0.99859035 0.988017   0.885176   0.74687399 0.30436811 0.17290059
 0.03869071 0.01963309 0.00198986]","[-0.01518817 -0.01368808 -0.01000715 -0.00778438 -0.00409136 -0.00339198
 -0.00278108 -0.00270146 -0.00262919]",0.998590347264073,-0.0026291943033804
0.1,1000.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[0.99768775 0.98675114 0.88128935 0.7426324  0.30366064 0.17289453
 0.03879963 0.01969714 0.0019972 ]","[-0.04835978 -0.03038799 -0.01856204 -0.01241334 -0.00433543 -0.00333466
 -0.00272589 -0.00267045 -0.00262577]",0.9976877474103215,-0.002625768828082897
1.0,10.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-5.19590153e+03  7.74916192e-01  5.57932149e-01  4.47424891e-01
  2.18141538e-01  1.49112771e-01  5.51225676e-02  3.43974654e-02
  5.27837338e-03]","[-3.15612334e+03 -2.54239219e-01 -6.28071525e-02 -1.74542961e-02
  2.92033499e-02  3.20031605e-02  2.13143766e-02  1.49464260e-02
  7.84898037e-04]",0.7749161915736623,0.03200316046285612
2.0,10.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-7.83794535e+05  5.45614010e-01  3.66572703e-01  2.95199944e-01
  1.62260545e-01  1.21487168e-01  5.69523294e-02  3.90059134e-02
  8.07933649e-03]","[-8.23533482e+05 -1.42783693e-01 -1.63016296e-02  1.24710716e-02
  4.26359400e-02  4.40650333e-02  3.13896421e-02  2.33193253e-02
  3.81230906e-03]",0.5456140104403682,0.0440650332761364
4.0,5.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-1.26235657e+07  3.40122736e-01  2.29254821e-01  1.89844564e-01
  1.19048554e-01  9.63512051e-02  5.45808398e-02  3.96968646e-02
  9.15915100e-03]","[-1.27054643e+07 -4.59333243e-02  1.95628091e-02  3.49450952e-02
  5.09671420e-02  5.07146436e-02  3.74711246e-02  2.84032193e-02
  5.28238726e-03]",0.3401227360258413,0.05096714203553436
5.0,5.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-2.17675007e+07  2.90288960e-01  1.98140877e-01  1.66046459e-01
  1.08544915e-01  8.96561321e-02  5.30303016e-02  3.90052290e-02
  8.99048609e-03]","[-2.13150728e+07 -2.55136055e-02  2.73672131e-02  3.99688932e-02
  5.25527859e-02  5.17076273e-02  3.81832816e-02  2.89635927e-02
  5.25493369e-03]",0.29028896020397366,0.052552785918314956
10.0,5.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-1.75376629e+07  1.82261883e-01  1.33064608e-01  1.16288654e-01
  8.46364272e-02  7.29641502e-02  4.58523702e-02  3.40027326e-02
  7.45726932e-03]","[-1.76231778e+07  1.80852739e-02  4.58857716e-02  5.16690236e-02
  5.44143976e-02  5.15955582e-02  3.61996938e-02  2.69611254e-02
  4.12903803e-03]",0.18226188304847488,0.054414397620998665
15.0,1.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-2.20614614e+07  1.44969668e-01  1.10739931e-01  9.87259160e-02
  7.47419174e-02  6.47702670e-02  4.03829863e-02  2.97627027e-02
  6.25490264e-03]","[-2.17940438e+07  3.55374139e-02  5.21602132e-02  5.48413868e-02
  5.33069512e-02  4.91743427e-02  3.26714214e-02  2.38950581e-02
  3.11501900e-03]",0.1449696682916956,0.05484138677253301
